33.460893952, 2
17.42360443, 2
151.61142994, 18
61.94859646, 8
30.557082366, 4
80.31016979, 12
12.001351102000001, 2
17.261002651, 3
33.310446462, 6
243.84523057, 44
91.84202914, 18
40.723265654, 8
50.7885252, 10
40.17752777, 8
30.080689625999998, 6
46.378130991999996, 10
49.774436965999996, 11
18.088573308, 4
224.668891076, 50
61.557424071999996, 14
57.372369973767185, 4
21.851999999999997, 4
1.846, 1
0.02881892, 1
11.401785, 1
10.49994359, 1
4.9475552, 1
4.5942432, 1
2.6006, 1
2.21589845, 1
2.15543615, 1
2.00002136, 1
2.0, 1
1.95031884, 1
1.85307634, 1
1.80210954, 1
1.8018, 1
1.8018, 1
1.8018, 1
1.8018, 1
1.8018, 1
1.7326, 1
1.5006, 1
1.39302868, 1
24.0, 4
9.609677545999999, 2
4.499654581, 2
42.261561027, 27
0.83196762, 2
0.28453074, 2
0.04290047, 1
12.3, 1
2.975, 1
78.7706406, 4
17.36710442, 1
8.55886434, 1
8.46338327, 1
5.000084, 1
3.66386783, 1
3.500105, 1
3.439074, 1
3.0, 1
2.85701169, 1
2.4264228, 1
2.33085705, 1
2.3011026, 1
2.30015336, 1
2.13644385, 1
2.02260621, 1
2.0, 1
1.88670365, 1
1.71283521, 1
1.6924248, 1
22.0, 2
35.334923520000004, 4
35.33527422, 5
6.0, 1
4.24904948, 1
4.20827108, 1
4.01, 1
7.6, 2
3.5, 1
3.33988072, 1
33.46, 12
5.0, 2
9.2, 4
2.28, 1
2.25171363, 1
2.2, 1
2.02041215, 1
2.0, 1
2.0, 1
1.8, 1
14.25, 1
6.087835986, 2
14.664000000000001, 6
2.2, 1
0.02494, 1
8.0, 1
3.0, 1
3.0, 1
13.740364450862039, 6
2.0, 1
1.83, 1
1.54, 1
1.2, 1
1.15, 1
1.0, 1
1.0, 1
0.75, 1
0.75, 1
0.56, 1
0.55, 1
0.5, 1
13.72, 28
0.4, 1
0.4, 1
0.4, 1
3.1528361, 1
4.860273, 1
4.0009, 1
