ted0,ted1,eth0,eth1,label
11.73607349,0.570999026,2.525758505,-1.806093335,0
0.263515204,0.353949219,-1.610449791,2.028236151,1
-4.637221813,10.19265366,-1.11649704,1.265357256,1
5.515428066,-1.256699562,2.825888634,-2.610019684,0
0.263515204,0.353949219,-2.191310883,1.987283587,1
10.29147625,0.094930202,2.459808826,-2.159604073,0
-2.483897209,10.6084137,-2.400455713,2.820159435,1
-7.238544464,15.56267738,-1.301541924,1.463108182,1
20.03936768,0.97310555,2.401490211,-1.647274733,0
20.19857597,4.225750923,2.090465546,-1.272563219,0
8.205639839,-2.554473639,2.133007526,-2.151990891,0
-1.727417946,12.03839684,-2.155847311,3.181026697,1
10.26536655,2.170860767,2.253634214,-2.214403391,0
29.15440941,3.432283401,2.739643097,-2.403897762,0
11.76968098,0.628786683,2.894796133,-2.64565444,0
4.32621336,-1.376154542,2.316215277,-1.952320337,0
11.62329674,0.336839616,2.366273403,-2.082601547,0
6.683284283,-1.283542871,2.559574366,-2.386550188,0
22.45070839,3.63884306,2.609525204,-2.251393795,0
-1.949187517,10.25767708,-2.612971067,2.443388224,1
10.66075039,2.029261589,3.058186769,-1.716397166,0
22.79148674,-1.412148118,2.477794886,-1.879736066,0
11.35611629,1.154607177,2.059748173,-1.928816557,0
15.42558002,2.380447149,2.695417166,-1.624206185,0
-4.215644836,13.65043449,-1.709847927,1.634969354,1
-3.594462633,2.866796732,-2.601332903,2.89019227,1
-4.170102596,6.227632523,-2.772050619,3.129307032,1
18.08756447,-1.116623282,2.898656368,-1.297169566,0
-0.79703939,14.51614475,-2.337108612,2.770123243,1
-5.541846752,10.48308563,-1.24862349,1.083994031,1
-4.863660336,19.24739075,-2.107886314,2.039441586,1
10.32805729,-2.750196457,3.146562338,-2.806333065,0
1.185639381,16.57311821,-2.010660648,2.244143486,1
0.21092616,11.70132923,-3.353040218,3.905023336,1
16.44061089,1.231693387,2.290131807,-2.578180313,0
-3.871874809,5.454779625,-3.382266283,3.720252275,1
7.393321514,-0.776674867,2.498352289,-1.88741374,0
8.284035683,-2.971297264,3.00923562,-2.316157579,0
-2.371417046,8.583655357,0.798780203,-0.621459424,1
0.141225323,0.413070083,3.570633888,-2.943190813,0
19.33261299,-1.799154282,1.913160324,-1.365198016,0
0.488356262,11.8427124,-1.812656164,1.907209873,1
10.68503952,-0.101762131,3.33306098,-2.202105999,0
-1.101705909,15.79806423,-1.912726521,1.793441772,1
-6.373051167,11.79700565,-0.274724275,0.113531023,1
-2.86135745,17.68404579,-2.287838936,1.600316048,1
-0.595729411,14.2217207,-2.442024469,2.888596296,1
15.82293129,0.523070872,2.961910009,-2.286854506,0
-0.607390404,7.557683468,-1.584489107,1.811287165,1
0.148257971,0.408962309,-2.303352118,2.430915594,1
-1.723484039,17.89683914,-3.212129116,3.211965084,1
-2.726872683,9.594512939,-1.356654406,1.814122915,1
8.883587837,-0.207970649,2.912826777,-2.019697189,0
-1.56003499,7.641932487,-1.309486866,1.513608694,1
25.02540207,-1.268306732,3.109362125,-2.294293165,0
21.06001663,-1.200025439,3.378079176,-1.898280621,0
12.67830753,-2.288310766,3.453502893,-2.408030748,0
-1.961095333,8.614027977,-3.181231737,2.90357852,1
6.812247753,-1.821908951,2.600303173,-2.447852612,0
37.15301895,-1.473856926,-2.1452775,2.307805777,0
19.56513977,2.343154907,2.935843706,-2.8196733,0
19.44696808,2.259124041,2.908171892,-2.218036652,0
-8.171661377,16.73062134,-3.154139996,4.380140781,1
18.04206657,0.123016924,3.03290081,-2.590597868,0
-8.131973267,15.28714657,-2.318371296,2.622392654,1
0.102307782,0.43099162,3.991348505,-2.869196415,0
-8.047271729,11.56378937,-4.879741192,5.227834225,1
6.678688049,-1.394794464,1.933696032,-1.926092982,0
-3.462214947,2.779674053,-4.200901985,4.790908337,1
-4.554087162,9.883808136,-3.404060841,3.388527393,1
-1.052568555,10.32377815,-2.753053665,2.760733604,1
-1.175917387,6.697496414,-1.849594712,2.061684132,1
12.56877899,0.193801284,2.735630274,-2.635233402,0
17.49590683,-0.235959113,3.000997066,-2.500853539,0
-1.691847444,17.99986458,-2.612573147,3.260144234,1
-2.326499462,10.43821621,-1.801431179,1.943244934,1
20.46634865,0.153562218,3.358207226,-2.686702251,0
0.123361349,0.419974625,-1.602608919,1.554006815,1
-1.435940385,16.48482323,-2.206600189,2.373045921,1
10.53806305,-1.190814257,2.565381527,-1.861020565,0
-0.477674633,14.86441803,-1.685183287,2.054474115,1
-8.487633705,26.48556519,-2.843194962,2.5984056,1
-0.804827929,7.08526659,-2.769139767,3.014785767,1
-0.140059277,12.07159328,-1.747485995,2.201368809,1
-0.880637884,15.10248661,-2.833211184,2.988217354,1
-1.94215405,12.17322445,-3.83860302,3.426643848,1
