ted0,ted1,eth0,eth1,label
2.942586899,-5.478376389,5.086440086,-5.083177567,0
-6.399700165,3.525267363,-1.002629161,1.212713599,1
-8.542862892,3.137065887,-0.517656803,0.472355664,1
-6.376216412,8.279369354,-1.060081482,0.61384064,1
0.863132775,-3.390219688,3.709488153,-4.081914902,0
-0.144416973,-5.050544739,2.687740564,-2.45174551,0
-11.31268215,16.04450417,-1.337934256,1.155733943,1
-9.971094131,17.1489296,-0.25426653,-0.054321487,1
-6.683775425,3.333140373,-0.920884013,1.126161218,1
-11.94334412,13.19205761,-0.39255628,0.424874961,1
-0.605891228,-0.382763624,0.079831667,-0.062855355,0
-7.815847397,7.877021313,-0.349309713,0.133068025,1
-16.36561966,15.22214413,-1.120082974,0.659420788,1
-17.60346794,15.36319351,-0.979496837,0.441103578,1
-3.846315622,12.39575005,0.411088794,-0.471625954,1
1.804262638,-5.921024799,-0.40342173,0.330069691,0
2.837337732,-4.322110653,-0.884920657,0.733048737,0
0.37164709,-1.6056422,0.679543316,-0.998904288,0
3.799214363,-3.865474939,-1.027020335,1.087646365,0
-2.867372036,0.466502935,-0.881498218,0.724852979,1
0.641506732,-5.932917118,5.070532322,-4.606704712,0
-5.566149235,6.487960339,-0.899705946,0.675759673,1
-8.689766884,10.77125263,-1.257008195,1.106084704,1
-2.5184834,1.750190258,-2.224362135,1.87699163,1
2.323009729,-5.50642252,-0.662836969,0.664624691,0
2.875128984,-7.921845913,0.10934101,-0.151861161,0
-5.727425098,7.736598015,-0.977475524,0.86464709,1
2.928497076,-6.752193451,-0.416348904,0.538594007,0
-8.945930481,7.427838326,-1.056574702,0.494747519,1
1.564350963,-7.315534115,1.664571166,-1.838175774,0
5.289365768,-9.717337608,-0.537024438,0.528052092,0
-9.923223495,14.60589886,-0.996246874,0.818512976,1
-19.48736382,18.30018044,-0.804326534,0.592438102,1
-13.55218887,14.13147926,-1.036297321,0.653385997,1
-11.21783447,14.08722591,-0.923144996,0.679968834,1
-11.03502464,13.02505589,-0.717228115,0.537408412,1
10.69730377,-11.64550591,-0.20901826,0.031669784,0
7.281329155,-10.46249199,1.745137453,-1.189703465,0
13.75336075,0.080163814,3.97743988,-4.991734505,0
-11.2292881,10.50557804,-1.536296487,1.438406825,1
-18.09591484,15.40558815,-0.66474551,0.609769881,1
4.541185856,-2.137814283,-0.835997105,0.742616415,0
-11.34491062,16.30612946,-1.298210859,0.876480103,1
4.130464077,-3.853768587,-1.047546148,0.987450242,0
-5.894213676,6.997357845,-1.259392381,1.16352284,1
-9.593232155,11.49832344,-0.748114288,0.560836971,1
-8.061853409,12.93599129,-0.48364234,0.328338623,1
4.816597462,-8.253436089,6.243711472,-5.788434982,0
1.737238646,-3.919345617,2.425106287,-2.124914885,0
1.889441848,-6.423611164,2.513604641,-2.437976599,0
3.449890614,-4.045345783,6.602696419,-5.548047066,0
-3.800657749,0.813996375,-1.144860268,0.825409949,1
-3.965434551,1.573293924,-0.856652081,0.50949645,1
-22.0388813,23.51704216,-1.288246512,0.768787026,1
6.446538448,-6.832509995,-0.553736389,0.416487724,0
4.819658756,-4.190225124,2.33913064,-2.190089703,0
-7.337342739,8.797976494,-0.761294723,0.751247466,1
-2.585670948,3.487662554,-0.85139668,0.734415472,1
-16.11297607,13.29026413,-2.152689219,1.835489273,1
1.813263893,-6.535801411,-0.759261847,0.633950233,0
0.367538571,-3.338796377,7.636955738,-6.794564247,0
4.990961075,-3.928349733,6.786224365,-8.024155617,0
-4.855510235,1.242543221,-0.181367218,0.08987236,1
-14.06485271,8.529121399,-0.839536011,0.50942874,1
6.188736916,-7.396548271,9.687472343,-8.042956352,0
-9.225824356,10.73389721,-0.382049769,0.250892848,1
-1.982547164,0.87814945,-1.200792193,0.978452384,1
5.080213547,-8.150017738,-0.420671552,-0.060091343,0
-9.709392548,8.20220089,-1.052759647,0.317210495,1
-19.63313484,14.25992393,-1.163855314,0.871599019,1
-9.947610855,11.3555212,-0.529027462,0.658315599,1
-15.66581249,16.29696083,0.609597266,-0.420004696,1
-16.85464859,17.01461601,-1.066676855,0.814658403,1
1.505241156,-4.974540234,-0.334505111,0.356057823,0
8.745166779,-12.50954819,3.372025728,-3.149633884,0
6.566721439,-6.943274021,6.576081276,-7.992812157,0
-8.044045448,10.63192844,-0.328577548,0.315060377,1
-6.87334156,8.339455605,-0.035494469,0.050967395,1
-6.441860199,10.3428793,-0.906815946,0.560784161,1
3.212371588,-5.630033016,7.431117058,-6.998497963,0
1.217402577,-1.606047273,2.894688129,-2.351659298,0
2.514461994,-4.132308006,8.958900452,-8.568870544,0
0.868749261,-3.846744061,-0.205641553,0.321194172,0
8.593616486,-14.86022091,-0.677532971,0.472678512,0
1.610392928,-8.311151505,-0.62776798,0.59226042,0
-16.78541946,22.89165878,-0.746136904,0.554403901,1
-8.190977097,11.3887701,-0.368053228,0.453380913,1
0.659167767,-4.313064575,9.590411186,-10.42915821,0
2.210117817,-4.784854412,5.570902824,-5.792391777,0
-10.93609142,7.78591156,-0.953048527,0.966202438,1
-5.301569462,9.199822426,-1.549017191,1.134782672,1
-8.483332634,13.79339123,-0.735424578,0.355374038,1
-8.09079361,5.928016186,0.193283781,-0.228172809,1
-5.237929344,5.577344418,-0.800504267,0.5886361,1
1.744246125,-4.870043278,4.232480049,-3.319894314,0
-2.538649082,1.7371912,-2.409418821,2.182495594,1
-7.535541534,9.406224251,-0.372399151,0.258786947,1
1.848221421,-3.011969805,-0.22547096,0.087841704,0
3.20807004,-7.663146973,7.012026787,-5.93319273,0
-8.172389984,6.583920479,-0.815087676,0.560382605,1
2.988364697,-3.478463173,-0.91131103,0.798832178,0
6.09787941,-8.382760048,1.775541306,-1.608512998,0
-9.64125824,13.04231834,-0.782717943,0.432525605,1
-6.402746201,11.39824677,0.171214357,-0.204727322,1
6.988155365,-10.98620319,-0.297115594,0.172096997,0
-5.362885475,11.30598068,-0.531490326,0.237702027,1
9.284030914,1.759034395,1.62682724,-1.659677267,0
-4.161538601,9.509190559,3.559283257,-3.865258932,1
7.376612663,-6.514414787,-0.692715168,0.491986215,0
9.155036926,-12.65108585,-0.793267965,0.376449436,0
4.391198635,-4.837193966,1.309992433,-1.40482235,0
-5.274015427,9.621105194,7.360291958,-7.510509968,1
-10.39150047,15.72117424,-1.492899776,1.219372988,1
-6.442692757,4.084403038,-0.464583606,0.151420623,1
-1.016030073,1.316251159,-0.744181275,0.317735255,1
12.27784729,-5.236685753,-0.730985761,0.62895155,0
-10.10446835,11.61662006,8.937767029,-6.016055584,1
